name,url,address
Woodlands Senior High School,https://www.greatschools.org/new-york/hartsdale/1015-Woodlands-Senior-High-School/,"475 West Hartsdale Avenue, Hartsdale, NY, 10530
�
4.2
(19 Reviews)"
North Rockland High School,https://www.greatschools.org/new-york/thiells/1103-North-Rockland-High-School/,"106 Hammond Road, Thiells, NY, 10984
�
3.6
(13 Reviews)"
Hicksville High School,https://www.greatschools.org/new-york/hicksville/1139-Hicksville-High-School/,"180 Division Avenue, Hicksville, NY, 11801
�
3.8
(16 Reviews)"
James I O Neill High School,https://www.greatschools.org/new-york/highland-falls/1149-James-I-O-Neill-High-School/,"21 MORGAN RD, Fort Montgomery, NY, 10922
�
2.5
(13 Reviews)"
Comsewogue High School,https://www.greatschools.org/new-york/port-jefferson-station/1299-Comsewogue-High-School/,"565 North Bicycle Path, Port Jefferson Station, NY, 11776
�
3.7
(16 Reviews)"
City Polytechnic High School Of Engineering Archi,https://www.greatschools.org/new-york/brooklyn/13323-City-Polytechnic-High-School-Of-Engineering-Archi/,"105 Tech Place, Brooklyn, NY, 11201
�
4
(2 Reviews)"
Eagle Academy for Young Men II,https://www.greatschools.org/new-york/brooklyn/13354-Eagle-Academy-For-Young-Men-II/,"1137 Herkimer Street, Brooklyn, NY, 11233
�
4.3
(9 Reviews)"
Civic Leadership Academy,https://www.greatschools.org/new-york/queens/13359-Civic-Leadership-Academy/,"45-10 94TH ST, Queens, NY, 11373
�
4.8
(4 Reviews)"
Pan American International High School,https://www.greatschools.org/new-york/queens/13360-Pan-American-International-High-School/,"45-10 94TH ST, Queens, NY, 11373"
Goddard High School For Communication Arts & Technology,https://www.greatschools.org/new-york/queens/13370-Robert-H-Goddard-High-School-For-Community-Arts-7-And-T/,"138-30 Lafayette Street, Queens, NY, 11417
�
3.7
(3 Reviews)"
University Prep Charter High School,https://www.greatschools.org/new-york/the-bronx/13406-University-Prep-Charter-High-School/,"600 Saint Ann's Avenue, The Bronx, NY, 10455
�
5
(2 Reviews)"
Brooklyn Ascend Charter School,https://www.greatschools.org/new-york/brooklyn/13429-Brooklyn-Ascend-Charter-School/,"205 Rockaway Parkway, Brooklyn, NY, 11212
�
3.2
(18 Reviews)"
Achievement First Brownsville Charter School,https://www.greatschools.org/new-york/brooklyn/13433-Achievement-First-Brownsville-Charter-School/,"2021 Bergen Street, Brooklyn, NY, 11233
�
3.6
(5 Reviews)"
Leadership Preparatory Ocean Hill Charter School,https://www.greatschools.org/new-york/brooklyn/13435-Leadership-Preparatory-Ocean-Hill-Charter-School/,"51 Christopher Avenue, Brooklyn, NY, 11212
�
4.4
(31 Reviews)"
Urban Assembly New York Harbor School,https://www.greatschools.org/new-york/new-york/13497-Urban-Assembly-New-York-Harbor-School/,"10 South Street, New York, NY, 10004
�
5
(9 Reviews)"
Urban Assembly Gateway School For Technology,https://www.greatschools.org/new-york/new-york/13624-Urban-Assembly-Gateway-School-For-Technology/,"439 West 49th Street, New York, NY, 10019"
New Visions Charter High School For Advanced Math,https://www.greatschools.org/new-york/new-york/13629-New-Visions-Charter-High-School-For-Advanced-Math/,"99 TERRACE VIEW AVE-RM 254, The Bronx, NY, 10463"
Unity Prep Charter School of Brooklyn,https://www.greatschools.org/new-york/brooklyn/14211-Unity-Prep-Charter-School-Of-Brooklyn/,"432 Monroe Street, Brooklyn, NY, 11221
�
5
(3 Reviews)"
New Visions Charter HS-Advanced Math & Science,https://www.greatschools.org/new-york/brooklyn/14235-New-Visions-Charter-HS-Adv-Ma-Science-III/,"3000 Avenue X, Brooklyn, NY, 11235"
Centereach High School,https://www.greatschools.org/new-york/centereach/1628-Centereach-High-School/,"14 43rd Street, Centereach, NY, 11720
�
2.4
(8 Reviews)"
Mineola High School,https://www.greatschools.org/new-york/garden-city-park/1670-Mineola-High-School/,"10 Armstrong Road, Garden City Park, NY, 11040
�
4.6
(10 Reviews)"
Queens High For Language Studies,https://www.greatschools.org/new-york/queens/18123-Queens-High-For-Language-Studies/,"35-01 UNION ST, Queens, NY, 11354
�
5
(1 Reviews)"
